NAME,RADEG,DEDEG,CZ,LOGMSTAR,MODELU_RCORR,R90,MORPHEL,GRPCZ,FC,LOGMH,DEN1MPC
ECO01249,147.836,31.98,6462.3,8.63,1.02,12.7,L,6462.3,1,10.85,0.92
ECO01250,147.948,3.123,5930.4,8.41,1.13,18.1,L,5930.4,1,10.75,1.02
ECO01251,132.256,-0.349,4217.4,9.23,2.07,37.5,L,4217.4,1,10.85,0.15
ECO01252,148.441,0.787,5967.7,8.59,1.22,10.7,L,6006.2,0,10.95,1.33
ECO01253,149.699,34.786,5085.8,8.79,1.21,19.8,L,5085.8,1,10.94,0.89
ECO01254,149.921,31.685,6416.9,8.65,1.23,14.9,L,6395.0,0,11.83,1.87
ECO01255,150.432,9.004,6632.9,8.17,1.07,11.5,L,6632.9,1,10.75,0.33
ECO01256,150.861,10.46,6625.1,8.65,1.66,18.8,L,6625.1,1,10.78,0.66
ECO01257,151.007,31.184,6148.7,9.43,1.99,12.1,L,6138.3,0,13.0,1.59
ECO01258,132.493,46.478,7306.1,9.69,0.84,9.2,L,7306.1,1,11.25,0.33
ECO01259,151.383,25.799,5367.6,8.33,0.67,12.6,L,5367.6,1,10.79,0.23
ECO01260,151.695,31.087,6556.7,9.19,2.28,17.1,L,6452.2,0,11.84,1.67
ECO01261,153.049,22.475,6135.5,8.63,1.15,15.1,L,6135.5,1,10.77,0.97
ECO01262,153.385,29.976,5047.7,8.51,1.34,27.6,L,5047.7,1,10.76,0.49
ECO01263,153.765,43.01,4379.4,8.37,0.75,25.8,L,4379.4,1,10.77,0.41
ECO01264,153.949,19.358,3565.7,8.45,0.62,31.7,L,3565.7,1,10.75,0.74
ECO01265,154.084,42.763,4370.8,8.47,0.98,18.8,L,4249.9,0,11.04,0.5
ECO01266,154.731,3.66,4132.1,8.49,0.76,10.2,E,4132.1,1,10.76,0.5
ECO01267,154.91,21.241,5365.3,8.57,0.83,17.1,L,5365.3,1,10.76,0.32
ECO01268,155.058,6.803,3548.2,8.29,1.03,24.3,L,3593.9,0,10.99,0.91
ECO01269,155.786,8.98,4603.4,8.59,0.83,27.6,L,4603.4,1,10.89,0.33
ECO01270,155.861,12.816,2848.4,8.93,1.97,7.9,E,2839.2,0,11.89,1.07
ECO01271,156.204,44.078,5346.1,8.29,1.24,22.6,L,5346.1,1,10.75,0.33
ECO01272,156.242,28.025,6274.8,11.05,2.42,61.0,L,6322.0,0,13.38,2.15
ECO01273,156.536,42.026,6842.4,8.43,0.79,11.9,L,6842.4,1,10.75,0.76
ECO01274,157.468,20.669,5722.3,8.69,1.36,14.4,L,5722.3,1,10.91,0.28
ECO01275,157.477,33.194,6518.4,8.61,1.33,19.5,L,6518.4,1,10.84,0.66
ECO01276,157.522,31.565,6355.4,8.19,1.19,13.1,L,6359.8,0,10.95,0.75
ECO01277,157.848,22.285,6223.6,8.41,1.26,14.1,L,6223.6,1,10.75,0.52
